parent_name;variation_name;synonyms;goals;dimensionality;numerical;categorical;visual_cues;visual_cue_params;add_plot_args;add_gmap_args;scales;coordinate_system;shapes;description;anatomy;caveats;facetted;single_facetted;dual_facetted;grouped;plot_package;related;implemented
2D Density Plot;Simple 2D Density Plot;Hexagonal Bin Plot |  Hexagonal Bin Plot;Distribution |  Relationship;3-Dimensional;3;0;X-Position |  Y-Position |  Polygon |  Colour;{};{};{};99999;Carthesian;Polygon;;;"Play with bin size / bandwidth.
Useful only if sample size is huge.
Pick up a good color palette.";False;False;False;False;Seaborn;Density Plot |  Heat Map;False
2D Density Plot;Single Facetted 2D Density Plot;Hexagonal Bin Plot |  Hexagonal Bin Plot;Comparison |  Distribution |  Relationship;4-Dimensional;3;1;X-Position |  Y-Position |  Polygon |  Colour |  Row or Column;{};{};{};99999;Carthesian;Polygon;;;;True;True;False;False;Seaborn;Density Plot |  Heat Map;False
2D Density Plot;Dual Facetted 2D Density Plot;Hexagonal Bin Plot |  Hexagonal Bin Plot;Comparison |  Distribution |  Relationship;5-Dimensional;3;2;X-Position |  Y-Position |  Polygon |  Colour |  Row |  Column;{};{};{};99999;Carthesian;Polygon;;;;True;False;True;False;Seaborn;Density Plot |  Heat Map;False
3D Scatter Plot;Simple 3D Scatter Plot;;Relationship;3-Dimensional;3;0;X-Position |  Y-Position |  Dot |  Colour;{};{};{};99999;Carthesian;Dot;"Hexagonal Binning is another way to manage the problem of having to many points that start to overlap. Hexagonal binning plots density |  rather than points. Points are binned into gridded hexagons and distribution (the number of points per hexagon) is displayed using either the color or the area of the hexagons.This technique was first described in 1987 (D.B.Carr et al. Scatterplot Matrix Techniques for large N |  Journal of the American Statistical Association |  No.389 pp 424-436).

There are many reasons for using hexagons instead of squares for binning a 2D surface as a plane. The most evident is that hexagons are more similar to circle than square. This translates in more efficient data aggregation around the bin center. This can be seen by looking at some particular properties of hexagons and |  especially |  of the hexagonal tessellation.";;;False;False;False;False;Matplotlib;Bubble Chart |  Correlogram |  Scatter Plot;False
3D Scatter Plot;Single Facetted 3D Scatter Plot;;Comparison |  Relationship;4-Dimensional;3;1;X-Position |  Y-Position |  Dot |  Colour |  Row or Column;{};{};{};99999;Carthesian;Dot;;;;True;True;False;False;Matplotlib;Bubble Chart |  Correlogram |  Scatter Plot;False
3D Scatter Plot;Dual Facetted 3D Scatter Plot;;Comparison |  Relationship;5-Dimensional;3;2;X-Position |  Y-Position |  Dot |  Colour |  Row |  Column;{};{};{};99999;Carthesian;Dot;;;;True;False;True;False;Matplotlib;Bubble Chart |  Correlogram |  Scatter Plot;False
Arc Diagram;Simple Arc Diagram;;Proportions |  Relationship;2-Dimensional;2;0;X-Position |  Size |  Circle |  Line;{};{};{};99999;;Circle |  Line;;;Finding the best node order is the key for an insightful arc diagram;False;False;False;False;;;False
Arc Diagram;Grouped Arc Diagram;;Comparison |  Proportions |  Relationship;3-Dimensional;2;1;X-Position |  Size |  Circle |  Line |  Colour;{};{};{};99999;;Circle |  Line;;;;False;False;False;True;;;False
Area Chart;Simple Area Chart;;Data Over Time |  Range;2-Dimensional;2;0;X-Position |  Y-Position |  Area;"{""x"": ""num"" |  ""y"": ""num""}";{};{};99999;Carthesian;Area;;;;False;False;False;False;Matplotlib;Line Chart |  Steam Graph;False
Area Chart;Grouped Area Chart;;Comparison |  Data Over Time |  Range;3-Dimensional;2;1;X-Position |  Y-Position |  Area |  Colour;{};{};{};99999;Carthesian;Area;;;;False;False;False;True;Matplotlib;Line Chart |  Steam Graph;False
Area Chart;Single Facetted Area Chart;;Comparison |  Data Over Time |  Range;3-Dimensional;2;1;X-Position |  Y-Position |  Area |  Row or Column;{};{};{};99999;Carthesian;Area;;;;True;True;False;False;Matplotlib;Line Chart |  Steam Graph;False
Area Chart;Single Facetted Grouped Area Chart;;Comparison |  Data Over Time |  Range;4-Dimensional;2;2;X-Position |  Y-Position |  Area |  Colour |  Row or Column;{};{};{};99999;Carthesian;Area;;;;True;True;False;True;Matplotlib;Line Chart |  Steam Graph;False
Area Chart;Dual Facetted Area Chart;;Comparison |  Data Over Time |  Range;4-Dimensional;2;2;X-Position |  Y-Position |  Area |  Row |  Column;{};{};{};99999;Carthesian;Area;;;;True;False;True;False;Matplotlib;Line Chart |  Steam Graph;False
